Operation,CONV_2D_52K
Data Size,52K
valid,8/8
sessions,1

initial_comms_mean,initial_comms_stdev,inital_comms_median
1607.000000000025,685.8935777508913,1607.000000000025

Session: 1
valid,2/2
first_host_submission_mean,first_tpu_comms_mean,first_tpu_return_mean,first_inference_mean,first_total_mean
1387.499999999875,89.00000000000574,650.5000000001094,89.00000000000574,2126.99999999999

first_host_submission_std,first_tpu_comms_std,first_tpu_return_std,first_inference_std,first_total_std
1520.9866863325876,16.9705627483371,303.3488091290379,16.9705627483371,1234.6084399518868

first_host_submission_med,first_tpu_comms_med,first_tpu_return_med,first_inference_med,first_total_med
1387.499999999875,89.00000000000574,650.5000000001094,89.00000000000574,2126.99999999999

host_submission_mean,tpu_comms_mean,tpu_return_mean,inference_mean,total_mean
111.25000000009044,104.24999999994466,891.5000000000173,104.24999999994466,1107.0000000000523

host_submission_stdev,tpu_comms_stdev,tpu_return_stdev,inference_stdev,total_stdev
35.42698729171434,10.236489353563485,923.1534464618961,10.236489353563485,920.4880692949636

host_submission_med,tpu_comms_med,tpu_return_med,inference_med,total_med
102.00000000015751,107.50000000003811,500.50000000001484,107.50000000003811,728.000000000062

host_data_perc,tpu_comms_perc,tpu_data_perc,inference_perc,total_perc
10.04968383017933,9.41734417343629,80.53297199638439,9.41734417343629,100

first_edge
mean,stddev,median
3508.30249954015,60.88826376599487,3508.30249954015

edge
mean,stddev,median
1644.128751649987,921.4305770447754,1339.5065034274012

cpu
mean,stddev,median
224.17855041567236,60.53446276137322,193.53149400558323

