Operation,MNIST_668K
Data Size,668K
valid,8/8
sessions,1

initial_comms_mean,initial_comms_stdev,inital_comms_median
3986.000000000045,470.9331162704368,3986.000000000045

Session: 1
valid,2/2
first_host_submission_mean,first_tpu_comms_mean,first_tpu_return_mean,first_inference_mean,first_total_mean
1097.4999999999734,936.0000000001589,124.99999999981969,936.0000000001589,2158.4999999999523

first_host_submission_std,first_tpu_comms_std,first_tpu_return_std,first_inference_std,first_total_std
152.02795795531864,104.65180361594922,28.284271247804206,104.65180361594922,75.66042558717363

first_host_submission_med,first_tpu_comms_med,first_tpu_return_med,first_inference_med,first_total_med
1097.4999999999734,936.0000000001589,124.99999999981969,936.0000000001589,2158.4999999999523

host_submission_mean,tpu_comms_mean,tpu_return_mean,inference_mean,total_mean
107.62500000005559,151.2499999999639,4.124999999993717,151.2499999999639,263.00000000001324

host_submission_stdev,tpu_comms_stdev,tpu_return_stdev,inference_stdev,total_stdev
25.12788718314399,26.21749688391214,2.2320714274793967,26.21749688391214,12.828539611814145

host_submission_med,tpu_comms_med,tpu_return_med,inference_med,total_med
101.00000000001774,163.99999999994196,2.9999999999752447,163.99999999994196,260.9999999998447

host_data_perc,tpu_comms_perc,tpu_data_perc,inference_perc,total_perc
40.922053231958245,57.50950570340544,1.5684410646363154,57.50950570340544,100

first_edge
mean,stddev,median
2763.1115008261986,102.06872908069808,2763.1115008261986

edge
mean,stddev,median
591.5701221965719,38.75798211319348,599.4934981572442

cpu
mean,stddev,median
374.1554412408732,120.94742960179751,325.1450034440495

