Operation,SPECIAL_1.5M
Data Size,1.5M
valid,5/5
sessions,1

initial_comms_mean,initial_comms_stdev,inital_comms_median
11643.20000000001,4660.941557239185,11732.999999999993

Session: 1
valid,5/5
first_host_submission_mean,first_tpu_comms_mean,first_tpu_return_mean,first_inference_mean,first_total_mean
3959.4000000001015,2970.9999999999236,1318.6000000000142,2970.9999999999236,8249.00000000004

first_host_submission_std,first_tpu_comms_std,first_tpu_return_std,first_inference_std,first_total_std
2257.757803662668,306.56239169211153,469.0136458569402,306.56239169211153,1925.7140234208514

first_host_submission_med,first_tpu_comms_med,first_tpu_return_med,first_inference_med,first_total_med
3059.000000000145,3071.9999999999636,1126.0000000001824,3071.9999999999636,7389.000000000312

host_submission_mean,tpu_comms_mean,tpu_return_mean,inference_mean,total_mean
92.39999999994808,2445.7999999999647,1161.0000000000566,2445.7999999999647,3699.1999999999694

host_submission_stdev,tpu_comms_stdev,tpu_return_stdev,inference_stdev,total_stdev
35.80921669068771,19.22758435164933,134.3781976363573,19.22758435164933,155.37599557211598

host_submission_med,tpu_comms_med,tpu_return_med,inference_med,total_med
90.00000000014552,2435.9999999998827,1112.9999999999195,2435.9999999998827,3636.0000000001946

host_data_perc,tpu_comms_perc,tpu_data_perc,inference_perc,total_perc
2.497837370240832,66.11699826989579,31.38516435986338,66.11699826989579,100

first_edge
mean,stddev,median
9097.348199952648,1874.0606034239422,8288.808999964203

edge
mean,stddev,median
4199.49279996672,316.13509652791237,4159.870999956183

