Operation,mobilenet00-07_16-23opt_4.3M
Data Size,4.3M
valid,10/10
sessions,2

initial_comms_mean,initial_comms_stdev,inital_comms_median
8592.200000000095,3482.058256261693,10617.00000000032

Session: 1
valid,10/10
first_host_submission_mean,first_tpu_comms_mean,first_tpu_return_mean,first_inference_mean,first_total_mean
2064.9999999999836,1383.200000000029,2183.000000000002,1383.200000000029,5631.200000000014

first_host_submission_std,first_tpu_comms_std,first_tpu_return_std,first_inference_std,first_total_std
1773.9914035867657,23.047776465474094,716.0834448582568,23.047776465474094,1264.5454519311954

first_host_submission_med,first_tpu_comms_med,first_tpu_return_med,first_inference_med,first_total_med
1476.9999999999507,1383.0000000001342,2512.9999999999873,1383.0000000001342,5094.000000000154

host_submission_mean,tpu_comms_mean,tpu_return_mean,inference_mean,total_mean
297.79999999997034,1375.8000000001048,1238.5999999998455,1375.8000000001048,2912.1999999999202

host_submission_stdev,tpu_comms_stdev,tpu_return_stdev,inference_stdev,total_stdev
251.6847234140317,26.051871333916335,359.14662743797516,26.051871333916335,349.000286532897

host_submission_med,tpu_comms_med,tpu_return_med,inference_med,total_med
126.0000000000705,1373.0000000000687,1080.9999999998877,1373.0000000000687,2931.000000000017

host_data_perc,tpu_comms_perc,tpu_data_perc,inference_perc,total_perc
10.22594602019018,47.242634434453066,42.531419545356755,47.242634434453066,100

Session: 2
valid,10/10
first_host_submission_mean,first_tpu_comms_mean,first_tpu_return_mean,first_inference_mean,first_total_mean
2299.000000000007,1245.4999999999661,1367.3000000000268,1245.4999999999661,4911.799999999999

first_host_submission_std,first_tpu_comms_std,first_tpu_return_std,first_inference_std,first_total_std
1208.3875390140129,146.97864546335515,1065.2778510792134,146.97864546335515,1199.957388132298

first_host_submission_med,first_tpu_comms_med,first_tpu_return_med,first_inference_med,first_total_med
2500.0000000000578,1251.499999999961,1353.4999999998965,1251.499999999961,4595.0000000000155

host_submission_mean,tpu_comms_mean,tpu_return_mean,inference_mean,total_mean
1409.0000000000157,1250.0000000000623,733.8999999998874,1250.0000000000623,3392.899999999965

host_submission_stdev,tpu_comms_stdev,tpu_return_stdev,inference_stdev,total_stdev
1184.1466688436221,135.30377345485232,584.9023565234247,135.30377345485232,559.4464426755161

host_submission_med,tpu_comms_med,tpu_return_med,inference_med,total_med
1544.9999999999075,1252.000000000031,676.4999999998578,1252.000000000031,3585.0000000000605

host_data_perc,tpu_comms_perc,tpu_data_perc,inference_perc,total_perc
41.527896489729436,36.84163989507722,21.630463615193342,36.84163989507722,100

first_edge
mean,stddev,median
33997.19639992327,3104.8408561309343,34188.23599986354

edge
mean,stddev,median
25459.28859999549,1637.4171237237665,25401.425999916682

