Operation,mobilenet_21-30_4.3M
Data Size,4.3M
valid,5/5
sessions,1

initial_comms_mean,initial_comms_stdev,inital_comms_median
93573.60000000003,19964.050323018022,92261.00000000015

Session: 1
valid,5/5
first_host_submission_mean,first_tpu_comms_mean,first_tpu_return_mean,first_inference_mean,first_total_mean
5015.800000000103,3002.799999999972,3.400000000075565,3002.799999999972,8022.000000000151

first_host_submission_std,first_tpu_comms_std,first_tpu_return_std,first_inference_std,first_total_std
512.0934485033613,15.22169504365766,1.6733200529902064,15.22169504365766,502.6091921165605

first_host_submission_med,first_tpu_comms_med,first_tpu_return_med,first_inference_med,first_total_med
4784.000000000344,2996.9999999996944,2.9999999999752447,2996.9999999996944,7792.999999999939

host_submission_mean,tpu_comms_mean,tpu_return_mean,inference_mean,total_mean
69.80000000003095,1127.1999999999948,10.399999999988196,1127.1999999999948,1207.400000000014

host_submission_stdev,tpu_comms_stdev,tpu_return_stdev,inference_stdev,total_stdev
8.757853618332968,18.912958520467498,15.469324484273754,18.912958520467498,13.030732903433222

host_submission_med,tpu_comms_med,tpu_return_med,inference_med,total_med
67.99999999995698,1120.9999999999277,4.000000000115023,1120.9999999999277,1208.9999999997935

host_data_perc,tpu_comms_perc,tpu_data_perc,inference_perc,total_perc
5.78101706145686,93.35762796090621,0.861354977636912,93.35762796090621,100

first_edge
mean,stddev,median
86466.75540076103,20849.602547817376,81859.98900444247

edge
mean,stddev,median
46655.10039776564,4532.364262545131,44748.70600097347

