Operation,FULLY_CONNECTED_relu_640K
Data Size,640K
valid,80/80
sessions,1

initial_comms_mean,initial_comms_stdev,inital_comms_median
4290.549999999971,2886.7034098285712,3977.4999999999673

Session: 1
valid,20/20
first_host_submission_mean,first_tpu_comms_mean,first_tpu_return_mean,first_inference_mean,first_total_mean
1456.4499999999869,844.550000000044,673.6500000000034,844.550000000044,2974.650000000034

first_host_submission_std,first_tpu_comms_std,first_tpu_return_std,first_inference_std,first_total_std
1136.2857069833267,521.4345066610068,1937.2212947252128,521.4345066610068,1957.9666486863557

first_host_submission_med,first_tpu_comms_med,first_tpu_return_med,first_inference_med,first_total_med
967.50000000001,1043.9999999999338,112.000000000001,1043.9999999999338,2281.500000000269

host_submission_mean,tpu_comms_mean,tpu_return_mean,inference_mean,total_mean
88.48750000000626,101.73749999997094,4.512500000011799,101.73749999997094,194.737499999989

host_submission_stdev,tpu_comms_stdev,tpu_return_stdev,inference_stdev,total_stdev
54.00609289349952,12.157972588717804,3.089360058262246,12.157972588717804,50.89421736076857

host_submission_med,tpu_comms_med,tpu_return_med,inference_med,total_med
73.50000000005963,105.00000000002174,2.9999999999752447,105.00000000002174,180.99999999998673

host_data_perc,tpu_comms_perc,tpu_data_perc,inference_perc,total_perc
45.43937351563579,52.243404583080654,2.31722190128355,52.243404583080654,100

first_edge
mean,stddev,median
4708.216350263683,3901.5111240398796,2906.3999973004684

edge
mean,stddev,median
797.2696870638174,715.7169929768625,623.9034992177039

